iter	Passed	Remaining
0	0	68
1	1	61
2	1	56
3	2	52
4	2	51
5	3	49
6	3	48
7	4	47
8	4	46
9	5	45
10	5	45
11	6	44
12	6	43
13	6	42
14	7	42
15	7	41
16	8	40
17	8	39
18	9	39
19	9	38
20	10	38
21	10	37
22	11	37
23	11	36
24	12	36
25	12	36
26	13	35
27	13	35
28	14	35
29	14	34
30	15	34
31	15	33
32	16	33
33	16	32
34	17	32
35	17	31
36	18	30
37	18	30
38	19	30
39	19	29
40	20	29
41	20	28
42	21	27
43	21	27
44	21	26
45	22	26
46	22	25
47	23	25
48	23	24
49	24	24
50	24	23
51	25	23
52	25	22
53	26	22
54	26	21
55	27	21
56	27	20
57	28	20
58	28	19
59	29	19
60	29	19
61	30	18
62	30	18
63	31	17
64	31	17
65	32	16
66	32	16
67	33	15
68	33	15
69	33	14
70	34	14
71	34	13
72	35	13
73	35	12
74	36	12
75	36	11
76	37	11
77	37	10
78	38	10
79	38	9
80	39	9
81	39	8
82	40	8
83	40	7
84	41	7
85	41	6
86	42	6
87	42	5
88	43	5
89	43	4
90	43	4
91	44	3
92	44	3
93	45	2
94	45	2
95	46	1
96	46	1
97	47	0
98	47	0
99	48	0
